Name,English,Translation,Restrictions,Comment
TargetSelection_Platform_Test,Test,Test,,the teset platform title in the platform selection list
TargetSelection_Platform_android,Android,Android,DO NOT TRANSLATE,the android platform title in the platform selection list
TargetSelection_Platform_HTML5,HTML5,HTML5,DO NOT TRANSLATE,the html5 platform title in the platform selection list
TargetSelection_Platform_Linux,Ubuntu,Ubuntu,DO NOT TRANSLATE,the linux platform title in the platform selection list
TargetSelection_Platform_operagx,GX.games,GX.games,DO NOT TRANSLATE,the opera gx platform title in the platform selection list
TargetSelection_Platform_ps4,PlayStation 4,PlayStation 4,,the ps4 platform title in the platform selection list
TargetSelection_Platform_ps5,PlayStation 5,PlayStation 5,,the ps5 platform title in the platform selection list
TargetSelection_Platform_switch,Switch,Switch,DO NOT TRANSLATE,Switch
TargetSelection_Platform_Windows,Windows,Windows,DO NOT TRANSLATE,the windows platform title in the platform selection list
TargetSelection_Platform_xboxseriesxs,Xbox One & Series X/S,Xbox One & Series X/S,DO NOT TRANSLATE,the Xbox One & Series X/S platform title in the platform selection list
TargetSelection_Platform_Mac,macOS,macOS,DO NOT TRANSLATE,the mac platform title in the platform selection list
TargetSelection_Platform_ios,iOS,iOS,DO NOT TRANSLATE,the apple iOS platform title in the platform selection list
TargetSelection_Platform_tvos,tvOS,tvOS,DO NOT TRANSLATE,the apple tvOS platform title in the platform selection list
ProgressBar_Install,Installing...,Installazione in corso...,,the progress bar caption while installing
DialogEditor_Error,Error,Errore,,dialog editor error box title
UserLogin_Exception,Exception - {0},Eccezione - {0},,exception error
UserLogin_ServerError,Error ({0}) - {1},Errore ({0}) - {1},,server response error
UserLogin_Retry,Retry,Riprova,,User Login - Error Retry
UserLogin_NoRuntime,Unable to access the Runtime Feed and no local Runtime installed. Please check your internet connection and start GameMaker again.,Non è possibile accedere al feed runtime e non è installato un runtime locale. Controlla la tua connessione a Internet e riavvia GameMaker.,,user login no runtime message
UserLogin_InstallRuntimeTitle,Install Runtime {0},Installa runtime {0},,install runtime title
UserLogin_RuntimeSpaceWarningMessage,Destination drive {0} has only {1} GB free space available.\nAt least 2 GB of free space is recommended - please ensure there is enough free space available before proceeding.,"L’unità di destinazione {0} dispone soltanto di {1} GB di spazio libero.\nLo spazio libero raccomandato è di almeno 2 GB - prima di procedere, verifica che sia disponibile uno spazio libero sufficiente.",,runtime free space warning message
UserLogin_Continue,Continue,Continua,,continue label
UserLogin_MaxDevice,Maximum logins exceeded \nYou can manage your account sessions at accounts.yoyogames.com,È stato superato il numero massimo di accessi \nPuoi gestire le sessioni del tuo account in accounts.yoyogames.com,,User Login Error response 29
User_OK,OK,OK,,User Login - two step authentication ok button
runtime_selection,Runtime Selection,Selezione runtime,,Runtime Selection Window title
runtime_onstartup_change,Do you want to change your current runtime to the matching IDE version {0}?,Vuoi cambiare il runtime corrente alla versione corrispondente dell’IDE {0}?,,Change current runtime to the version matching the IDE
UserLogin_OfflineError,Unable to take user offline,Impossibile portare l’utente offline,,offline error
IDETooltip_Notifications,Notifications,Notifiche,,IDE toolbar notifications tooltip
runtime_dns_ResolvingFailed,DNS resolving has failed,La risoluzione DNS non è riuscita,,A title of the warning which is shown when after the IDE failed to resolve an address against an alternative DNS
runtime_dns_ResolvingFailedMessage,Could not resolve {0} with an alternative DNS. A system DNS has been used,Impossibile risolvere {0} con un DNS alternativo. È stato utilizzato un DNS di sistema,,Could not use an alternative DNS
