Name,English,Translation,Restrictions,Comment
TargetSelection_Platform_Windows,Windows,Windows,DO NOT TRANSLATE,the windows platform title in the platform selection list
TargetSelection_Platform_xboxseriesxs,Xbox One & Series X/S,Xbox One & Series X/S,DO NOT TRANSLATE,the Xbox One & Series X/S platform title in the platform selection list
TargetSelection_Platform_Mac,macOS,macOS,DO NOT TRANSLATE,the mac platform title in the platform selection list
TargetSelection_Platform_ios,iOS,iOS,DO NOT TRANSLATE,the apple iOS platform title in the platform selection list
TargetSelection_Platform_tvos,tvOS,tvOS,DO NOT TRANSLATE,the apple tvOS platform title in the platform selection list
ProgressBar_Install,Installing...,Instalando...,,the progress bar caption while installing
DialogEditor_Error,Error,Erro,,dialog editor error box title
UserLogin_Exception,Exception - {0},Exceção - {0},,exception error
UserLogin_ServerError,Error ({0}) - {1},Erro ({0}) - {1},,server response error
UserLogin_Retry,Retry,Tentar novamente,,User Login - Error Retry
UserLogin_NoRuntime,Unable to access the Runtime Feed and no local Runtime installed. Please check your internet connection and start GameMaker again.,Não foi possível acessar o Feed do Runtime e não há Runtime instalado. Verifique sua conexão com a internet e inicie o GameMaker novamente.,,user login no runtime message
UserLogin_InstallRuntimeTitle,Install Runtime {0},Instalar Runtime {0},,install runtime title
UserLogin_RuntimeSpaceWarningMessage,Destination drive {0} has only {1} GB free space available.\nAt least 2 GB of free space is recommended - please ensure there is enough free space available before proceeding.,"A unidade de destino {0} tem apenas {1} GB de espaço livre disponível.\nÉ recomendado ter, pelo menos, 2 GB de espaço livre. Certifique-se de ter espaço livre suficiente antes de proceder.",,runtime free space warning message
UserLogin_Continue,Continue,Continuar,,continue label
UserLogin_MaxDevice,Maximum logins exceeded \nYou can manage your account sessions at accounts.yoyogames.com,Limite de logins excedidos \nVocê pode gerenciar as sessões da conta em accounts.yoyogames.com,,User Login Error response 29
User_OK,OK,OK,,User Login - two step authentication ok button
runtime_selection,Runtime Selection,Seleção de Runtime,,Runtime Selection Window title
runtime_onstartup_change,Do you want to change your current runtime to the matching IDE version {0}?,Deseja alterar o tempo de execução atual para a versão IDE {0} correspondente?,,Change current runtime to the version matching the IDE
UserLogin_OfflineError,Unable to take user offline,Não foi possível colocar o usuário offline,,offline error
IDETooltip_Notifications,Notifications,Notificações,,IDE toolbar notifications tooltip
runtime_dns_ResolvingFailed,DNS resolving has failed,Falha na resolução de DNS,,A title of the warning which is shown when after the IDE failed to resolve an address against an alternative DNS
runtime_dns_ResolvingFailedMessage,Could not resolve {0} with an alternative DNS. A system DNS has been used,Não foi possível resolver {0} com um DNS alternativo. Foi usado um DNS do sistema,,Could not use an alternative DNS
